Munic?pio,confirmed,deaths,estimated_population_2019,indice de Gini,IDHM 2010,IDHM Renda 2010,IDHM Longevidade 2010,IDHM Educacao 2010
Abadia de Goi?s,6,0,8773,"0,4258","0,708","0,687","0,83","0,622"
Abadia dos Dourados,5,0,6989,"0,4738","0,689","0,693","0,839","0,563"
Abadi?nia,2,0,20042,"0,4427","0,689","0,671","0,841","0,579"
Abaet?,1,0,23237,"0,551","0,698","0,72","0,848","0,556"
Abaetetuba,1556,51,157698,"0,5389","0,628","0,579","0,798","0,537"
Abaiara,3,1,11737,"0,488","0,628","0,54","0,748","0,612"
Aba?ra,4,0,8739,"0,4742","0,603","0,577","0,746","0,51"
Abar?,0,0,20086,"0,5621","0,575","0,533","0,776","0,46"
Abati?,1,0,7457,"0,4424","0,687","0,676","0,804","0,596"
Abdon Batista,1,0,2563,"0,4597","0,694","0,66","0,812","0,625"
Abel Figueiredo,18,1,7434,"0,5825","0,622","0,625","0,8","0,481"
Abelardo Luz,3,0,17904,"0,5445","0,696","0,684","0,852","0,578"
Abreu e Lima,313,38,99990,"0,4676","0,679","0,625","0,791","0,632"
Abreul?ndia,2,0,2579,"0,7146","0,665","0,7","0,835","0,502"
A?ail?ndia,737,3,112445,"0,5732","0,672","0,643","0,785","0,602"
Acajutiba,3,0,15159,"0,5791","0,582","0,56","0,723","0,487"
Acar?,30,7,55591,"0,5355","0,506","0,517","0,757","0,332"
Acarape,71,3,14929,"0,4331","0,606","0,559","0,709","0,562"
Acara?,484,13,62641,"0,6087","0,601","0,554","0,758","0,517"
Acari,3,0,11136,"0,4915","0,679","0,633","0,779","0,634"
Acopiara,74,2,54270,"0,5802","0,595","0,563","0,724","0,517"
Acorizal,9,0,5399,"0,5084","0,628","0,594","0,816","0,51"
Acrel?ndia,158,1,15256,"0,5464","0,604","0,584","0,808","0,466"
A?u,113,4,58017,"0,5387","0,661","0,641","0,795","0,568"
A?ucena,3,1,9470,"0,4955","0,61","0,595","0,844","0,451"
Adamantina,39,2,35068,"0,5151","0,79","0,772","0,852","0,75"
Adolfo,3,0,3562,"0,4111","0,73","0,71","0,844","0,648"
Adustina,3,1,17040,"0,5478","0,546","0,526","0,718","0,432"
Afogados da Ingazeira,8,0,37259,"0,5762","0,657","0,623","0,807","0,565"
Afonso Bezerra,10,1,11035,"0,5224","0,585","0,56","0,713","0,502"
Afonso Cl?udio,68,6,30586,"0,5101","0,667","0,661","0,825","0,544"
Afonso Cunha,7,0,6524,"0,5897","0,529","0,471","0,725","0,434"
Afr?nio,15,0,19635,"0,5333","0,588","0,542","0,761","0,493"
Afu?,155,2,39218,"0,6604","0,489","0,485","0,774","0,311"
Agrestina,27,5,24885,"0,5072","0,592","0,581","0,76","0,47"
Agrol?ndia,5,0,10864,"0,3667","0,725","0,727","0,827","0,633"
Agron?mica,10,1,5448,"0,4753","0,741","0,774","0,884","0,595"
?gua Azul do Norte,2,0,27430,"0,526","0,564","0,563","0,797","0,399"
?gua Boa,5,0,25721,"0,5018","0,576","0,594","0,799","0,403"
?gua Branca,2,0,10234,"0,5072","0,549","0,527","0,728","0,432"
?gua Branca,95,6,17411,"0,5072","0,549","0,527","0,728","0,432"
?gua Clara,2,0,15522,"0,5081","0,67","0,705","0,823","0,518"
?gua Comprida,2,0,1999,"0,4474","0,675","0,719","0,86","0,498"
